"soilTypeId";"soilTypeCode";"soilType";"soilTypeLabel"
"613";"RNDD";"Ranker-Pelosol";"    Ranker-Pelosol"
"614";"RQ";"Regosol";"  Regosol"
"615";"RQ_N";"Normregosol";"    Normregosol"
"616";"RQ_R";"Euregosol";"    Euregosol"
"617";"RQBB";"Regosol-Braunerde";"    Regosol-Braunerde"
"618";"RQDD";"Regosol-Pelosol";"    Regosol-Pelosol"
"619";"RQGG";"Regosol-Gley";"    Regosol-Gley"
"620";"RQYY";"Regosol-Rigosol";"    Regosol-Rigosol"
"621";"RR";"Rendzina";"  Rendzina"
"622";"RR_N";"Normrendzina";"    Normrendzina"
"623";"RR_S";"Sauerrendzina";"    Sauerrendzina"
"624";"RRBB";"Rendzina-Braunerde";"    Rendzina-Braunerde"
"625";"RRGG";"Rendzina-Gley";"    Rendzina-Gley"
"626";"RZ";"Pararendzina";"  Pararendzina"
"627";"RZ_N";"Normpararendzina";"    Normpararendzina"
"628";"RZ_S";"Sauerpararendzina";"    Sauerpararendzina"
"629";"RZBB";"Pararendzina-Braunerde";"    Pararendzina-Braunerde"
"630";"RZCF";"Pararendzina-Terra fusca";"    Pararendzina-Terra fusca"
"631";"RZDD";"Pararendzina-Pelosol";"    Pararendzina-Pelosol"
"632";"RZGG";"Pararendzina-Gley";"    Pararendzina-Gley"
"633";"RZSS";"Pararendzina-Pseudogley";"    Pararendzina-Pseudogley"
"634";"RZYO";"Pararendzina-Hortisol";"    Pararendzina-Hortisol"
"635";"RZYY";"Pararendzina-Rigosol";"    Pararendzina-Rigosol"
"636";"S";"Stauwasserböden";"Stauwasserböden"
"637";"SG";"Stagnogley";"  Stagnogley"
"638";"SG_D";"Bändchenstagnogley";"    Bändchenstagnogley"
"639";"SG_M";"Anmoorstagnogley";"    Anmoorstagnogley"
"640";"SG_N";"Normstagnogley";"    Normstagnogley"
"641";"SG_O";"Moorstagnogley";"    Moorstagnogley"
"642";"SGPP";"Stagnogley-Podsol";"    Stagnogley-Podsol"
"643";"SH";"Haftpseudogley";"  Haftpseudogley"
"644";"SH_H";"Humushaftnässepseudogley";"    Humushaftnässepseudogley"
"645";"SH_N";"Haftnässepseudogley";"    Haftnässepseudogley"
"646";"SHBB";"Haftnässepseudogley-Braunerde";"    Haftnässepseudogley-Braunerde"
"647";"SS";"Pseudogley";"  Pseudogley"
"648";"SS_C";"Kalkpseudogley";"    Kalkpseudogley"
"649";"SS_G";"Hangpseudogley";"    Hangpseudogley"
"650";"SS_H";"Humuspseudogely";"    Humuspseudogely"
"651";"SS_M";"Anmoorpseudogley";"    Anmoorpseudogley"
"652";"SS_N";"Normpseudogley";"    Normpseudogley"
"653";"SSAB";"Pseudogley-Vega";"    Pseudogley-Vega"
"654";"SSBB";"Pseudogley-Braunerde";"    Pseudogley-Braunerde"
"655";"SSCF";"Pseudogley-Terra fusca";"    Pseudogley-Terra fusca"
"656";"SSDD";"Pseudogley-Pelosol";"    Pseudogley-Pelosol"
"657";"SSGG";"Pseudogley-Gley";"    Pseudogley-Gley"
"658";"SSLF";"Pseudogley-Fahlerde";"    Pseudogley-Fahlerde"
"659";"SSLL";"Pseudogley-Parabraunerde";"    Pseudogley-Parabraunerde"
"660";"SSPP";"Pseudogley-Podsol";"    Pseudogley-Podsol"
"661";"SSRQ";"Pseudogley-Regosol";"    Pseudogley-Regosol"
"662";"SSRZ";"Pseudogley-Pararendzina";"    Pseudogley-Pararendzina"
"663";"SSTT";"Pseudogley-Tschernosem";"    Pseudogley-Tschernosem"
"664";"SSYE";"Pseudogley-Plaggenesch";"    Pseudogley-Plaggenesch"
"665";"SSYK";"Pseudogley-Kolluvisol";"    Pseudogley-Kolluvisol"
"666";"SSYO";"Pseudogley-Hortisol";"    Pseudogley-Hortisol"
"667";"SSYY";"Pseudogley-Rigosol";"    Pseudogley-Rigosol"
"668";"T";"Schwarzerden";"Schwarzerden"
"669";"TC";"Kalktschernosem";"  Kalktschernosem"
