plantCombinationName;;plantCombinationRank;plantCombinationList
Potamogetonion pectinati;(W. Koch 1926) Görs 1977;VRB;      Potamogetonion pectinati
Potamogetonetum filiformis;W. Koch 1928;ASS;        Potamogetonetum filiformis
Potamogetonetum alpini;Podbielkowski 1967;ASS;        Potamogetonetum alpini
Najadetum intermediae;Lang 1973;ASS;        Najadetum intermediae
Potamogetono-Zannichellietum palustris;W. Koch 1926;ASS;        Potamogetono-Zannichellietum palustris
Potamogetonetum lucentis;Hueck 1931;ASS;        Potamogetonetum lucentis
Najadetum marinae;Fukarek 1961;ASS;        Najadetum marinae
Potamogetonetum trichoidis;Freitag et al. 1958;ASS;        Potamogetonetum trichoidis
Potamogetonetum praelongi;Sauer 1937;ASS;        Potamogetonetum praelongi
Callitrichetum hermaphroditicae;Looman 1985;ASS;        Callitrichetum hermaphroditicae
Potamogeton perfoliatus-Gesellschaft;;ASS;        Potamogeton perfoliatus-Gesellschaft
Potamogeton pectinatus-Gesellschaft;;ASS;        Potamogeton pectinatus-Gesellschaft
Potamogeton obtusifolius-Gesellschaft;;ASS;        Potamogeton obtusifolius-Gesellschaft
Potamogeton acutifolius-Gesellschaft;;ASS;        Potamogeton acutifolius-Gesellschaft
Potamogeton compressus-Gesellschaft;;ASS;        Potamogeton compressus-Gesellschaft
Ceratophyllum submersum-Gesellschaft;;ASS;        Ceratophyllum submersum-Gesellschaft
Potamogeton friesii-Gesellschaft;;ASS;        Potamogeton friesii-Gesellschaft
Potamogeton rutilus-Gesellschaft;;ASS;        Potamogeton rutilus-Gesellschaft
Potamogeton gramineus-Gesellschaft;;ASS;        Potamogeton gramineus-Gesellschaft
Potamogeton pusillus-Gesellschaft;;ASS;        Potamogeton pusillus-Gesellschaft
Potamogeton berchtoldii-Gesellschaft;;ASS;        Potamogeton berchtoldii-Gesellschaft
Ceratophyllum demersum-Gesellschaft;;ASS;        Ceratophyllum demersum-Gesellschaft
Elodea nuttallii-Gesellschaft;;ASS;        Elodea nuttallii-Gesellschaft
Potamogeton zizii-Gesellschaft;;ASS;        Potamogeton zizii-Gesellschaft
Nymphaeion albae;Oberd. 1957;VRB;      Nymphaeion albae
Myriophyllo-Nupharetum;Koch 1926;ASS;        Myriophyllo-Nupharetum
Nymphoidetum peltatae;Bellot 1951 nom. mutat. propos.;ASS;        Nymphoidetum peltatae
Trapetum natantis;Th. Müller et Görs 1960;ASS;        Trapetum natantis
Potamogetono-Nymphaeetum candidae;Hejný 1948 nom. invalid.;ASS;        Potamogetono-Nymphaeetum candidae
Nymphaeetum albae;Vollmar 1947 corr. Oberd. in Oberd. et al. 1967 nom. invalid.;ASS;        Nymphaeetum albae
Nupharetum pumilae;Oberd. 1957 ex Th. Müller et Görs 1960;ASS;        Nupharetum pumilae
Potamogeton nodosus-Gesellschaft des Stillwassers;;ASS;        Potamogeton nodosus-Gesellschaft des Stillwassers
Potamogeton natans-Gesellschaft;;ASS;        Potamogeton natans-Gesellschaft
Polygonum amphibium-Bestände;;ASS;        Polygonum amphibium-Bestände
Ranunculion aquatilis;Passarge 1964;VRB;      Ranunculion aquatilis
Ranunculetum aquatilis;Sauer 1945;ASS;        Ranunculetum aquatilis
Ranunculetum peltati;(Segal 1965) Weber-Oldecop 1969;ASS;        Ranunculetum peltati
Hottonietum palustris;Tx. 1937;ASS;        Hottonietum palustris
Ranunculetum baudotii;Hocquette 1927;ASS;        Ranunculetum baudotii
Ranunculetum hederacei;(Tx. et Diémont 1936) Libbert 1940;ASS;        Ranunculetum hederacei
Ruppion maritimae;Br.-Bl. 1931;VRB;      Ruppion maritimae
Ruppietum maritimae;Hocquette 1927;ASS;        Ruppietum maritimae
Ruppietum cirrhosae;Iversen 1934;ASS;        Ruppietum cirrhosae
Eleocharitetum parvulae;(Libbert 1940) Gillner 1960;ASS;        Eleocharitetum parvulae
Tolypelletum nidificae;Kornas 1959;ASS;        Tolypelletum nidificae
Utricularietea;Pietsch 1965;KLA;  Utricularietea
Utricularietalia intermedio-minoris;Pietsch 1965;ORD;    Utricularietalia intermedio-minoris
Scorpidio-Utricularion minoris;Pietsch 1965;VRB;      Scorpidio-Utricularion minoris
Scorpidio-Utricularietum intermediae;Ilschner ex Th. Müller et Görs 1960;ASS;        Scorpidio-Utricularietum intermediae
Sphagno-Utricularion;Th. Müller et Görs 1960;VRB;      Sphagno-Utricularion
Utricularietum ochroleucae;Pietsch 2000;ASS;        Utricularietum ochroleucae
Sphagno-Utricularietum stygiae;Oberd. ex Th. Müller et Görs 1960 corr. Rennwald 2000;ASS;        Sphagno-Utricularietum stygiae
Sparganio minimi-Utricularietum intermedii;Tx. 1937;ASS;        Sparganio minimi-Utricularietum intermedii
Sphagno denticulati-Sparganietum angustifolii;Tx. 1937 nom. invers. propos.;ASS;        Sphagno denticulati-Sparganietum angustifolii
Sphagno-Utricularietum minoris;Fijalkowski 1960;ASS;        Sphagno-Utricularietum minoris
Isoëto-Littorelletea;Br.-Bl. et Vlieger in Vlieger 1937;KLA;  Isoëto-Littorelletea
Isoëto-Littorelletea-Basalgesellschaft;;ASS;        Isoëto-Littorelletea-Basalgesellschaft
Littorella uniflora-Gesellschaft;;ZEH;          Littorella uniflora-Gesellschaft
Juncus bulbosus-Gesellschaft;;ZEH;          Juncus bulbosus-Gesellschaft
Potamogeton polygonifolius-Gesellschaft;;ZEH;          Potamogeton polygonifolius-Gesellschaft
Littorelletalia;W. Koch 1926;ORD;    Littorelletalia
Deschampsion littoralis;Oberd. et Dierßen in Dierßen 1975;VRB;      Deschampsion littoralis
Deschampsietum rhenanae;Oberd. 1957 ex Th. Müller et Görs 1960;ASS;        Deschampsietum rhenanae
Littorellion uniflorae;W. Koch 1926;VRB;      Littorellion uniflorae
Isoëtetum echinosporae;W. Koch 1926;ASS;        Isoëtetum echinosporae
Isoëto-Lobelietum;Tx. 1937;ASS;        Isoëto-Lobelietum
Eleocharition acicularis;Pietsch 1967;VRB;      Eleocharition acicularis
Littorello-Eleocharitetum acicularis;Jouanne 1925;ASS;        Littorello-Eleocharitetum acicularis
Hydrocotylo-Baldellion;Tx. et Dierßen in Dierßen 1972;VRB;      Hydrocotylo-Baldellion
Eleocharitetum multicaulis;(Allorge 1922) Tx. 1937;ASS;        Eleocharitetum multicaulis
Carici-Deschampsietum setaceae;Pietsch 1968;ZEH;          Carici-Deschampsietum setaceae
Pilularietum globuliferae;Th. Müller et Görs 1960;ASS;        Pilularietum globuliferae
Samolo-Littorelletum;Westhoff 1943;ASS;        Samolo-Littorelletum
Scirpetum fluitantis;Allorge 1922;ASS;        Scirpetum fluitantis
Apium inundatum-Peplis portula-Gesellschaft;;ASS;        Apium inundatum-Peplis portula-Gesellschaft
II. Schutt-, Felsspalten- und Mauerfugengesellschaften;;FOR;II. Schutt-, Felsspalten- und Mauerfugengesellschaften
Asplenietea trichomanis;(Br.-Bl. in Meier et Br.-Bl. 1934) Oberd. 1977;KLA;  Asplenietea trichomanis
Potentilletalia caulescentis;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Potentilletalia caulescentis
Potentillion caulescentis;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Potentillion caulescentis
Androsacetum helveticae;Lüdi ex Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Androsacetum helveticae
Hieracio humilis-Potentilletum caulescentis;Br.-Bl. in Meier et Br.-Bl. 1934;ASS;        Hieracio humilis-Potentilletum caulescentis
Drabo-Hieracietum humilis;Oberd. (1970) 1977;ASS;        Drabo-Hieracietum humilis
Asplenium trichomanes-Asplenium ruta-muraria-Gesellschaft;;ASS;        Asplenium trichomanes-Asplenium ruta-muraria-Gesellschaft
Cystopteridion fragilis;J.L. Richard 1972;VRB;      Cystopteridion fragilis
Cystopteridetum fragilis;Oberd. 1938;ASS;        Cystopteridetum fragilis
Heliospermo-Cystopteridetum alpinae;J.L. Richard 1972 corr. Pott 1992;ASS;        Heliospermo-Cystopteridetum alpinae
Asplenio-Caricetum brachystachyos;Richard 1972;ASS;        Asplenio-Caricetum brachystachyos
Drabo stellatae-Potentilletum clusianae;Hörandl et Greimler in Mucina 1993;ASS;        Drabo stellatae-Potentilletum clusianae
Cystopteridetum dickieanae;Dierßen 1992;ASS;        Cystopteridetum dickieanae
Androsacetalia vandellii;Br.-Bl. in Meier et Br.-Bl. 1934;ORD;    Androsacetalia vandellii
Asplenion septentrionalis;Focquet 1982;VRB;      Asplenion septentrionalis
Sileno rupestris-Asplenietum septentrionalis;Malcuit ex Oberd. 1934;ASS;        Sileno rupestris-Asplenietum septentrionalis
Asplenietum septentrionali-adianti-nigri;Oberd. 1938;ASS;        Asplenietum septentrionali-adianti-nigri
Asplenietum serpentini;Gauckler 1954;ASS;        Asplenietum serpentini
Cryptogramma crispa-Gesellschaft;;ASS;        Cryptogramma crispa-Gesellschaft
Asarinion procumbentis;Br.-Bl. in Meier et Br.-Bl. 1934;VRB;      Asarinion procumbentis
Crocynio-Asplenietum billotii;G. Schulze et Korneck 1971;ASS;        Crocynio-Asplenietum billotii
Androsacion vandellii;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Androsacion vandellii
Asplenio-Primuletum hirsutae;Br.-Bl. in Meier et Br.-Bl. 1934;ASS;        Asplenio-Primuletum hirsutae
Parietarietalia judaicae;Rivas-Martínez ex Br.-Bl. 1963 corr. Oberdorfer 1977;ORD;    Parietarietalia judaicae
Cymbalario-Asplenion;Segal 1969;VRB;      Cymbalario-Asplenion
Parietaria judaica-Gesellschaft;;ASS;        Parietaria judaica-Gesellschaft
Cymbalaria muralis-Gesellschaft;;ASS;        Cymbalaria muralis-Gesellschaft
Pseudofumaria lutea-Gesellschaft;;ASS;        Pseudofumaria lutea-Gesellschaft
Thlaspietea rotundifolii;Br.-Bl. 1948;KLA;  Thlaspietea rotundifolii
Androsacetalia alpinae;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Androsacetalia alpinae
Androsacion alpinae;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Androsacion alpinae
Sieversio-Oxyrietum;Friedel 1956;ASS;        Sieversio-Oxyrietum
Drabetalia hoppeanae;Zollitsch 1966;ORD;    Drabetalia hoppeanae
Drabion hoppeanae;Zollitsch 1966;VRB;      Drabion hoppeanae
Drabetum hoppeanae;Friedel 1956;ASS;        Drabetum hoppeanae
Saxifragetum biflorae;Zollitsch 1966;ASS;        Saxifragetum biflorae
Herniarietum alpinae;Zollitsch 1968;ASS;        Herniarietum alpinae
Campanulo ceniseae-Saxifragetum oppositifoliae;Oberd. ex Zollitsch 1968;ASS;        Campanulo ceniseae-Saxifragetum oppositifoliae
Thlaspietalia rotundifolii;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Thlaspietalia rotundifolii
Thlaspion rotundifolii;Jenny-Lips 1930;VRB;      Thlaspion rotundifolii
Thlaspietum rotundifolii;Jenny-Lips 1930;ASS;        Thlaspietum rotundifolii
Crepidetum terglouensis;Seibert 1977;ASS;        Crepidetum terglouensis
Leontodontetum montani;Jenny-Lips 1930;ASS;        Leontodontetum montani
Petasition paradoxi;Zollitsch ex Lippert 1966;VRB;      Petasition paradoxi
Moehringio-Gymnocarpietum robertiani;(Jenny-Lips 1930) Lippert 1966;ASS;        Moehringio-Gymnocarpietum robertiani
Petasitetum paradoxi;Beger 1922;ASS;        Petasitetum paradoxi
Athamanto-Trisetetum distichophylli;(Jenny-Lips 1930) Lippert 1966;ASS;        Athamanto-Trisetetum distichophylli
Dryopteridetum villarii;Jenny-Lips 1930;ASS;        Dryopteridetum villarii
Anthyllido-Leontodentetum hyoseroidis;Zoller 1951;ASS;        Anthyllido-Leontodentetum hyoseroidis
Cystopteridetum montanae;Richard 1972;ASS;        Cystopteridetum montanae
Polystichum lonchitis-Gesellschaft;;ASS;        Polystichum lonchitis-Gesellschaft
Adenostyles glabra-Gesellschaft;;ASS;        Adenostyles glabra-Gesellschaft
Petasites albus-Gesellschaft;;ASS;        Petasites albus-Gesellschaft
Epilobietalia fleischeri;Moor 1958;ORD;    Epilobietalia fleischeri
Salicion incanae;Aichinger 1933;VRB;      Salicion incanae
Myricario-Chondrilletum chondrilloidis;Br.-Bl. in Volk 1940;ASS;        Myricario-Chondrilletum chondrilloidis
Calamagrostietum pseudophragmitis;Kopecký 1968;ASS;        Calamagrostietum pseudophragmitis
Epilobio-Scrophularietum caninae;Br.-Bl. et Koch ex Th. Müller 1974;ASS;        Epilobio-Scrophularietum caninae
Epilobietum fleischeri;Frey 1922;ASS;        Epilobietum fleischeri
Galio-Parietarietalia officinalis;Boscaiu et al. 1966;ORD;    Galio-Parietarietalia officinalis
Stipion calamagrostis;Jenny-Lips ex Br.-Bl. et al. 1952;VRB;      Stipion calamagrostis
Stipetum calamagrostis;Br.-Bl. 1918;ASS;        Stipetum calamagrostis
Gymnocarpietum robertiani;Kuhn 1937;ASS;        Gymnocarpietum robertiani
Rumicetum scutati;Faber 1936;ASS;        Rumicetum scutati
Galeopsietum angustifoliae;(Büker 1942) Bornkamm 1960;ASS;        Galeopsietum angustifoliae
Vincetoxicum hirundinaria-Gesellschaft;;ASS;        Vincetoxicum hirundinaria-Gesellschaft
Galeopsietalia segetum;Oberd. et Seibert in Oberd. 1977;ORD;    Galeopsietalia segetum
Galeopsion segetum;Oberd. 1957;VRB;      Galeopsion segetum
Epilobio lanceolati-Galeopsietum segetum;Büker 1942;ASS;        Epilobio lanceolati-Galeopsietum segetum
Anarrhinetum bellidifolii;(Korneck 1974) Seibert in Oberd. 1977;ASS;        Anarrhinetum bellidifolii
Teucrio botryos-Senecionetum viscosi;(Kersberg 1968) Korneck 1974;ASS;        Teucrio botryos-Senecionetum viscosi
