plantCombinationName;;plantCombinationRank;plantCombinationList
Bidenti-Polygonetum hydropiperis;Lohmeyer in Tx. 1950 nom. invalid.;ASS;        Bidenti-Polygonetum hydropiperis
Bidentetum cernuae;(Kobendza 1948) Slavnic 1951;ASS;        Bidentetum cernuae
Rumici-Alopecuretum aequalis;Cîrtu 1972;ASS;        Rumici-Alopecuretum aequalis
Bidenti-Ranunculetum scelerati;(Miljan 1933) Tx. 1978;ASS;        Bidenti-Ranunculetum scelerati
Rumicetum maritimi;Sissingh ex Tx. 1950 nom. invalid.;ASS;        Rumicetum maritimi
Rumicetum palustris;(Timár 1950) W. Fischer 1978;ASS;        Rumicetum palustris
Senecionetum tubicaulis;Burrichter 1970;ASS;        Senecionetum tubicaulis
Chenopodion glauci;Hejný 1974;VRB;      Chenopodion glauci
Chenopodion glauci-Basalgesellschaft;;ASS;        Chenopodion glauci-Basalgesellschaft
Atriplex prostrata-Gesellschaft;;ZEH;          Atriplex prostrata-Gesellschaft
Chenopodietum rubri;Timár 1947;ASS;        Chenopodietum rubri
Chenopodio rubri-Polygonetum brittingeri;Lohmeyer 1950;ASS;        Chenopodio rubri-Polygonetum brittingeri
Xanthio albini-Chenopodietum rubri;Lohmeyer et Walther in Lohmeyer 1950;ASS;        Xanthio albini-Chenopodietum rubri
Rorippo-Corrigioletum littoralis;Malcuit 1929;ASS;        Rorippo-Corrigioletum littoralis
Isoëto-Nanojuncetea;Br.-Bl. et Tx. ex Westhoff et al. 1946;KLA;  Isoëto-Nanojuncetea
Isoëto-Nanojuncetea-Basalgesellschaft;;ASS;        Isoëto-Nanojuncetea-Basalgesellschaft
Juncus bufonius-Gesellschaft;;ZEH;          Juncus bufonius-Gesellschaft
Elatine hexandra-Gesellschaft;;ZEH;          Elatine hexandra-Gesellschaft
Juncus capitatus-Gesellschaft;;ZEH;          Juncus capitatus-Gesellschaft
Centaurium pulchellum-Gesellschaft;;ZEH;          Centaurium pulchellum-Gesellschaft
Nanocyperetalia;Klika 1935;ORD;    Nanocyperetalia
Peplis portula-Gesellschaft;;ASS;        Peplis portula-Gesellschaft
Elatino-Eleocharition ovatae;(Pietsch et Müller-Stoll 1968) Pietsch 1973;VRB;      Elatino-Eleocharition ovatae
Cyperus fuscus-Gesellschaft;;ASS;        Cyperus fuscus-Gesellschaft
Elatine triandra-Elatine hydropiper-Gesellschaft;;ASS;        Elatine triandra-Elatine hydropiper-Gesellschaft
Eleocharito-Caricetum bohemicae;Klika 1935;ASS;        Eleocharito-Caricetum bohemicae
Cypero fusci-Limoselletum aquaticae;(Oberd. 1957) Korneck 1960;ASS;        Cypero fusci-Limoselletum aquaticae
Elatino alsinastri-Juncetum tenageiae;Libbert ex Fischer 1973;ASS;        Elatino alsinastri-Juncetum tenageiae
Radiolion linoidis;(Rivas-Goday 1961) Pietsch 1973;VRB;      Radiolion linoidis
Cicendietum filiformis;Allorge 1922;ASS;        Cicendietum filiformis
Spergulario-Illecebretum verticillati;(Diémont et al. 1940) Sissingh 1957;ASS;        Spergulario-Illecebretum verticillati
Junco bufonii-Gypsophiletum muralis;(Ambroz 1939) Pietsch 1996;ASS;        Junco bufonii-Gypsophiletum muralis
Centunculo-Anthocerotetum punctati;Koch ex Libbert 1932;ASS;        Centunculo-Anthocerotetum punctati
Stellario uliginosae-Isolepidetum setaceae;Libbert 1932;ASS;        Stellario uliginosae-Isolepidetum setaceae
Cyperetum flavescentis;W. Koch 1926;ASS;        Cyperetum flavescentis
Veronico anagalloides-Lythretum hyssopifoliae;Wagner ex Holzner 1973;ASS;        Veronico anagalloides-Lythretum hyssopifoliae
Centaurium pulchellum-Blackstonia acuminata-Gesellschaft;;ASS;        Centaurium pulchellum-Blackstonia acuminata-Gesellschaft
IV. Eutraphente Röhrichte und Großseggenriede;;FOR;IV. Eutraphente Röhrichte und Großseggenriede
Phragmito-Magnocaricetea;Klika in Klika et Novák 1941;KLA;  Phragmito-Magnocaricetea
Phragmitetalia australis;W. Koch 1926;ORD;    Phragmitetalia australis
Phragmition australis;W. Koch 1926;VRB;      Phragmition australis
Schoenoplecto-Phragmitetum;W. Koch 1926 nom. mutat. propos.;ASS;        Schoenoplecto-Phragmitetum
Scirpetum lacustris;Chouard 1924;ZEH;          Scirpetum lacustris
Phragmitetum australis;Schmale 1939;ZEH;          Phragmitetum australis
Typhetum angustifoliae;(Allorge 1922) Pignatti 1953;ZEH;          Typhetum angustifoliae
Typhetum latifoliae;(Soó 1927) Nowinski 1930;ZEH;          Typhetum latifoliae
Glycerietum maximae;Hueck 1931;ASS;        Glycerietum maximae
Glycerio-Sparganietum neglecti;Br.-Bl. 1925;ASS;        Glycerio-Sparganietum neglecti
Sparganietum erecti;Roll 1938;ASS;        Sparganietum erecti
Cicuto-Caricetum pseudocyperi;Boer et Sissingh in Boer 1942;ASS;        Cicuto-Caricetum pseudocyperi
Equisetum fluviatile-Gesellschaft;;ASS;        Equisetum fluviatile-Gesellschaft
Sium latifolium-Gesellschaft;;ASS;        Sium latifolium-Gesellschaft
Eleocharis palustris-Gesellschaft;;ASS;        Eleocharis palustris-Gesellschaft
Schoenoplectus tabaernaemontani-Gesellschaft;;ASS;        Schoenoplectus tabaernaemontani-Gesellschaft
Acoretum calami;Schulz 1941;ASS;        Acoretum calami
Butometum umbellati;Konczak 1968;ASS;        Butometum umbellati
Sagittario-Sparganietum emersi;Tx. 1953;ASS;        Sagittario-Sparganietum emersi
Oenantho-Rorippetum amphibiae;Lohmeyer 1950;ASS;        Oenantho-Rorippetum amphibiae
Scirpetum radicantis;Hejný in Hejný et Husák 1978;ASS;        Scirpetum radicantis
Equiseto-Typhetum minimae;Br.-Bl. in Volk 1940;ASS;        Equiseto-Typhetum minimae
Eleocharis mamillata-Gesellschaft;;ASS;        Eleocharis mamillata-Gesellschaft
Alisma plantago-aquatica-Gesellschaft;;ASS;        Alisma plantago-aquatica-Gesellschaft
Alismetum lanceolatae;Zahlheimer 1979;ASS;        Alismetum lanceolatae
Alisma gramineum-Gesellschaft;;ASS;        Alisma gramineum-Gesellschaft
Magnocaricion elatae;W. Koch 1926;VRB;      Magnocaricion elatae
Magnocaricion elatae-Basalgesellschaft;;ASS;        Magnocaricion elatae-Basalgesellschaft
Caricetum elatae;W. Koch 1926;ASS;        Caricetum elatae
Caricetum paniculatae;Wangerin ex von Rochow 1951;ASS;        Caricetum paniculatae
Galio palustris-Caricetum ripariae;Balátová-Tulácková et al. 1993;ASS;        Galio palustris-Caricetum ripariae
Carex randalpina / x oenensis-Gesellschaft;;ASS;        Carex randalpina / x oenensis-Gesellschaft
Caricetum vesicariae;Chouard 1924;ASS;        Caricetum vesicariae
Caricetum gracilis;Almquist 1929;ASS;        Caricetum gracilis
Caricetum vulpinae;Soó 1927;ASS;        Caricetum vulpinae
Caricetum buekii;Hejný et Kopecký 1965;ASS;        Caricetum buekii
Calamagrostis canescens-Gesellschaft;;ASS;        Calamagrostis canescens-Gesellschaft
Carex acutiformis-Gesellschaft;;ASS;        Carex acutiformis-Gesellschaft
Cladietum marisci;Allorge 1922;ASS;        Cladietum marisci
Phalaridetum arundinaceae;Libbert 1931;ASS;        Phalaridetum arundinaceae
Glycerio-Sparganion;Br.-Bl. et Sissingh in Boer 1942;VRB;      Glycerio-Sparganion
Glycerio-Sparganion-Basalgesellschaft;;ASS;        Glycerio-Sparganion-Basalgesellschaft
Berula erecta-Gesellschaft;;ZEH;          Berula erecta-Gesellschaft
Glycerietum fluitantis;Eggler 1933;ASS;        Glycerietum fluitantis
Glycerietum plicatae;Kulczynski 1928;ASS;        Glycerietum plicatae
Apietum nodiflori;Br.-Bl. ex Boer 1942;ASS;        Apietum nodiflori
Nasturtietum officinalis;Seibert 1962;ASS;        Nasturtietum officinalis
Nasturtietum microphylli;Philippi 1973;ASS;        Nasturtietum microphylli
Leersietum oryzoidis;Eggler 1933;ASS;        Leersietum oryzoidis
Catabrosetum aquaticae;Lang 1967;ASS;        Catabrosetum aquaticae
Glycerietum nemorali-plicatae;Kopecký 1972;ASS;        Glycerietum nemorali-plicatae
Veronica beccabunga-Gesellschaft;;ASS;        Veronica beccabunga-Gesellschaft
Molinio-Arrhenatheretea;Tx. 1937;KLA;  Molinio-Arrhenatheretea
Molinio-Arrhenatheretea-Basalgesellschaft;;ASS;        Molinio-Arrhenatheretea-Basalgesellschaft
Molinietalia caeruleae;W. Koch 1926;ORD;    Molinietalia caeruleae
Sanguisorba officinalis-Silaum silaus-Gesellschaft;;ASS;        Sanguisorba officinalis-Silaum silaus-Gesellschaft
Calthion;Tx. 1937;VRB;      Calthion
Calthion-Basalgesellschaft;;ASS;        Calthion-Basalgesellschaft
Calthion-Basalgesellschaft, artenarme Dominanzbestände;;ZEH;          Calthion-Basalgesellschaft, artenarme Dominanzbestände
Calthion-Basalgesellschaft, artenreiche Bestände;;ZEH;          Calthion-Basalgesellschaft, artenreiche Bestände
Carex cespitosa-Gesellschaft;;ZEH;          Carex cespitosa-Gesellschaft
Crepis paludosa-Juncus acutiflorus-Gesellschaft;;ASS;        Crepis paludosa-Juncus acutiflorus-Gesellschaft
Succisa pratensis-Juncus conglomeratus-Gesellschaft;;ASS;        Succisa pratensis-Juncus conglomeratus-Gesellschaft
Bromo-Senecionetum aquatici;Lenski 1953;ASS;        Bromo-Senecionetum aquatici
Cirsietum rivularis;Nowinski 1927;ZEH;          Cirsietum rivularis
Filipendulion ulmariae;Segal ex Lohmeyer in Oberd. et al. 1967 nom. invalid.;VRB;      Filipendulion ulmariae
Geranio sylvatici-Chaerophylletum hirsuti;Kästner 1938;ASS;        Geranio sylvatici-Chaerophylletum hirsuti
Filipendulo-Geranietum palustris;W. Koch 1926;ASS;        Filipendulo-Geranietum palustris
Valeriano-Polemonietum caerulei;Rosskopf 1971;ZEH;          Valeriano-Polemonietum caerulei
Molinion caeruleae;W. Koch 1926;VRB;      Molinion caeruleae
Molinietum caeruleae;W. Koch 1926;ASS;        Molinietum caeruleae
Cirsio tuberosi-Molinietum arundinaceae;Oberd. et Philippi ex Görs 1974;ZEH;          Cirsio tuberosi-Molinietum arundinaceae
Allio suaveolentis-Molinietum caeruleae;Görs in Oberd. ex Oberd. 1983;ZEH;          Allio suaveolentis-Molinietum caeruleae
Cnidion dubii;Balátová-Tulácková 1966;VRB;      Cnidion dubii
Cnidio-Deschampsietum cespitosae;Hundt ex Passarge 1960;ASS;        Cnidio-Deschampsietum cespitosae
Violo-Cnidietum;Walther in Tx. 1955 ex Philippi 1960;ZEH;          Violo-Cnidietum
Arrhenatheretalia;Tx. 1931;ORD;    Arrhenatheretalia
Arrhenatheretalia-Basalgesellschaft;;ASS;        Arrhenatheretalia-Basalgesellschaft
Poa pratensis-Trisetum flavescens-Gesellschaft;;ZEH;          Poa pratensis-Trisetum flavescens-Gesellschaft
Galium album-Alopecurus pratensis-Gesellschaft;;ZEH;          Galium album-Alopecurus pratensis-Gesellschaft
Festuca rubra-Agrostis capillaris-Gesellschaft;;ASS;        Festuca rubra-Agrostis capillaris-Gesellschaft
Arrhenatherion elatioris;W. Koch 1926;VRB;      Arrhenatherion elatioris
Arrhenatheretum elatioris;Braun 1915;ASS;        Arrhenatheretum elatioris
Arrhenatheretum elatioris, Ausbildungen von Standorten niedriger Trophiestufe;;ZEH;          Arrhenatheretum elatioris, Ausbildungen von Standorten niedriger Trophiestufe
Arrhenatheretum elatioris, Ausbildungen von Standorten hoher Trophiestufe;;ZEH;          Arrhenatheretum elatioris, Ausbildungen von Standorten hoher Trophiestufe
Arrhenatheretum elatioris, Ausbildungen ruderaler Standorte;;ZEH;          Arrhenatheretum elatioris, Ausbildungen ruderaler Standorte
Leucanthemum vulgare-Rumex thyrsiflorus-Gesellschaft;(sensu Walther (in Tx. 1955) ex Walther 1977);ZEH;          Leucanthemum vulgare-Rumex thyrsiflorus-Gesellschaft
Filipendula vulgaris-Ranunculus polyanthemos-Gesellschaft;;ASS;        Filipendula vulgaris-Ranunculus polyanthemos-Gesellschaft
Polygono-Trisetion;Br.-Bl. et Tx. ex Marschall 1947 nom. invers. propos.;VRB;      Polygono-Trisetion
Geranio sylvatici-Trisetetum;R. Knapp ex Oberd. 1957;ASS;        Geranio sylvatici-Trisetetum
Astrantio-Trisetetum;G. Knapp et R. Knapp 1952 nom. prov.;ZEH;          Astrantio-Trisetetum
Festuca rubra-Meum athamanticum-Gesellschaft;;ASS;        Festuca rubra-Meum athamanticum-Gesellschaft
Cynosurion cristati;Tx. 1947;VRB;      Cynosurion cristati
Lolio perennis-Cynosuretum cristati;Tx. 1937;ASS;        Lolio perennis-Cynosuretum cristati
Lolio perennis-Cynosuretum cristati, Bestände von Standorten hoher Trophiestufe;;ZEH;          Lolio perennis-Cynosuretum cristati, Bestände von Standorten hoher Trophiestufe
Lolio perennis-Cynosuretum cristati, Bestände von Standorten niedr. Trophiestufe;;ZEH;          Lolio perennis-Cynosuretum cristati, Bestände von Standorten niedr. Trophiestufe
Crepis capillaris-Festuca rubra-Gesellschaft;;ASS;        Crepis capillaris-Festuca rubra-Gesellschaft
Poion alpinae;Oberd. 1950;VRB;      Poion alpinae
Crepido aureae-Festucetum commutatae;Lüdi 1948;ASS;        Crepido aureae-Festucetum commutatae
Trifolio-Festucetum violaceae;Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Trifolio-Festucetum violaceae
Potentillo-Polygonetalia;Tx. 1947;ORD;    Potentillo-Polygonetalia
Potentillion anserinae;Tx. 1947;VRB;      Potentillion anserinae
Potentillion anserinae-Basalgesellschaft;;ASS;        Potentillion anserinae-Basalgesellschaft
Cotula coronopifolia-Gesellschaft;;ZEH;          Cotula coronopifolia-Gesellschaft
Juncus anceps-Agrostis maritima-Gesellschaft;;ZEH;          Juncus anceps-Agrostis maritima-Gesellschaft
Holoschoenetum;Br.-Bl. 1931;ZEH;          Holoschoenetum
Ranunculo-Alopecuretum geniculati;Tx. 1937;ASS;        Ranunculo-Alopecuretum geniculati
Trifolio fragiferi-Agrostietum stoloniferae;Sykora 1982 nom. invers. propos.;ZEH;          Trifolio fragiferi-Agrostietum stoloniferae
Agropyro-Rorippetum austriacae;(Timár 1947) Tx. 1950 nom. invalid.;ZEH;          Agropyro-Rorippetum austriacae
Potentillo-Festucetum arundinaceae;Nordhagen 1940;ASS;        Potentillo-Festucetum arundinaceae
Junco compressi-Trifolietum repentis;Eggler 1933;ASS;        Junco compressi-Trifolietum repentis
Junco inflexi-Menthetum longifoliae;Lohmeyer 1953;ASS;        Junco inflexi-Menthetum longifoliae
Potentillo-Deschampsietum mediae;Oberd. 1957;ASS;        Potentillo-Deschampsietum mediae
Violetea calaminariae;Tx. in Lohmeyer et al. 1962 nom. invalid.;KLA;  Violetea calaminariae
Violetalia calaminariae;Br.-Bl. et Tx. 1943 nom. invalid.;ORD;    Violetalia calaminariae
Thlaspion calaminariae;Ernst 1965;VRB;      Thlaspion calaminariae
Violetum calaminariae;Schwickerath 1931;ASS;        Violetum calaminariae
Minuartio-Thlaspietum alpestris;Karl Koch 1932;ASS;        Minuartio-Thlaspietum alpestris
Armerion halleri;Ernst 1965;VRB;      Armerion halleri
Armerietum halleri;Libbert 1930;ASS;        Armerietum halleri
Armerietum halleri s.str.;Libbert 1930;ZEH;          Armerietum halleri s.str.
Armerietum bottendorfensis;R. Schubert 1953;ZEH;          Armerietum bottendorfensis
Armerietum hornburgensis;R. Schubert 1974;ZEH;          Armerietum hornburgensis
Koelerio-Corynephoretea;Klika in Klika et Novák 1941;KLA;  Koelerio-Corynephoretea
Corynephoretalia canescentis;Klika 1934;ORD;    Corynephoretalia canescentis
Corynephorion canescentis;Klika 1931;VRB;      Corynephorion canescentis
Corniculario aculeatae-Corynephoretum canescentis;Steffen 1931 nom. invers. propos.;ASS;        Corniculario aculeatae-Corynephoretum canescentis
Spergulo-Corynephoretum;Libbert 1933;ZEH;          Spergulo-Corynephoretum
Violo dunensis-Corynephoretum canescentis;(Westhoff 1947) Boerboom 1960;ZEH;          Violo dunensis-Corynephoretum canescentis
Festuco pallentis-Corynephoretum;R. Schubert 1974 nom. illegit.;ZEH;          Festuco pallentis-Corynephoretum
Agrostietum vinealis;Kobendza 1930 corr. Kratzert et Dengler 1999;ASS;        Agrostietum vinealis
Carex arenaria-Gesellschaft;;ASS;        Carex arenaria-Gesellschaft
Artemisio-Koelerietalia albescentis;Sissingh 1974;ORD;    Artemisio-Koelerietalia albescentis
Koelerion albescentis;Tx. 1937;VRB;      Koelerion albescentis
Tortulo ruraliformis-Phleetum arenarii;Br.-Bl. et De Leeuw 1936;ASS;        Tortulo ruraliformis-Phleetum arenarii
Thero-Airetalia;Rivas Goday 1964;ORD;    Thero-Airetalia
Thero-Airion;Tx. ex Oberdorfer 1957;VRB;      Thero-Airion
Airetum praecocis;Krausch 1967;ASS;        Airetum praecocis
Airo caryophylleae-Festucetum ovinae;Tx. ex Korneck 1974;ASS;        Airo caryophylleae-Festucetum ovinae
Filagini-Vulpietum bromoidis;Oberdorfer 1938 nom. mutat. propos.;ASS;        Filagini-Vulpietum bromoidis
Vulpietum myuri;Philippi 1973;ASS;        Vulpietum myuri
Narduretum lachenalii;Korneck 1975;ASS;        Narduretum lachenalii
Tuberaria guttata-Gesellschaft;;ASS;        Tuberaria guttata-Gesellschaft
Festuco-Sedetalia acris;Tx. 1951;ORD;    Festuco-Sedetalia acris
Helichrysum arenarium-Jasione montana-Gesellschaft;;ASS;        Helichrysum arenarium-Jasione montana-Gesellschaft
Plantagini-Festucion;Passarge 1964;VRB;      Plantagini-Festucion
Galium verum-Festuca filiformis-Gesellschaft;;ASS;        Galium verum-Festuca filiformis-Gesellschaft
Pimpinella saxifraga-Festuca ovina-Gesellschaft;;ASS;        Pimpinella saxifraga-Festuca ovina-Gesellschaft
Diantho deltoidis-Armerietum elongatae;Pötsch 1962 nom. conserv. propos.;ASS;        Diantho deltoidis-Armerietum elongatae
Sileno otitae-Festucetum brevipilae;Libbert 1933 corr. Kratzert et Dengler 1999 nom. invers. propos.;ASS;        Sileno otitae-Festucetum brevipilae
Sileno conicae-Cerastion semidecandri;Korneck 1974;VRB;      Sileno conicae-Cerastion semidecandri
Bromo tectorum-Phleetum arenarii;Korneck 1974;ASS;        Bromo tectorum-Phleetum arenarii
Sileno conicae-Cerastietum semidecandri;Korneck 1974;ASS;        Sileno conicae-Cerastietum semidecandri
Koelerion glaucae;Volk 1931;VRB;      Koelerion glaucae
Festucetum polesicae;Regel 1928;ASS;        Festucetum polesicae
Jurineo cyanoidis-Koelerietum glaucae;Volk 1931 nom. invers. propos.;ASS;        Jurineo cyanoidis-Koelerietum glaucae
Festuco psammophilae-Koelerietum glaucae;Klika 1931;ASS;        Festuco psammophilae-Koelerietum glaucae
Sedo-Scleranthetalia;Br.-Bl. 1955;ORD;    Sedo-Scleranthetalia
Sedo-Scleranthion biennis;Br.-Bl. 1955;VRB;      Sedo-Scleranthion biennis
Sileno rupestris-Sedetum annui;Oberd. 1957;ASS;        Sileno rupestris-Sedetum annui
Sclerantho-Sempervivetum arachnoidei;Br.-Bl. 1955;ASS;        Sclerantho-Sempervivetum arachnoidei
Sedo albi-Veronicion dillenii;Korneck 1974;VRB;      Sedo albi-Veronicion dillenii
Festuco-Veronicetum dillenii;Oberd. 1957;ASS;        Festuco-Veronicetum dillenii
Festuco-Veronicetum vernae;Oberd. ex Moravec 1967;ASS;        Festuco-Veronicetum vernae
Alysso-Sedion;Oberd. et Th. Müller in Th. Müller 1961;VRB;      Alysso-Sedion
Cerastietum pumili;Oberd. et Th. Müller in Th. Müller 1961;ASS;        Cerastietum pumili
Alysso-Sedetum;Oberd. et Th. Müller in Th. Müller 1961;ASS;        Alysso-Sedetum
Poo badensis-Allietum montani;Gauckler 1957;ASS;        Poo badensis-Allietum montani
Saxifraga tridactylites-Poa compressa-Gesellschaft;;ASS;        Saxifraga tridactylites-Poa compressa-Gesellschaft
Sempervivetum soboliferi;Korneck 1975;ASS;        Sempervivetum soboliferi
Seslerio-Festucion pallentis;Klika 1931 corr. Zolyomi 1966;VRB;      Seslerio-Festucion pallentis
"Thymus-Festuca cinerea""-Gesellschaft""";;ASS;"        Thymus-Festuca cinerea""-Gesellschaft"""
Diantho gratianopolitani-Festucetum pallentis;Gauckler 1938 corr. Korneck 1974 nom. invers. propos.;ASS;        Diantho gratianopolitani-Festucetum pallentis
Artemisio lednicensis-Melicetum ciliatae;Korneck 1974;ASS;        Artemisio lednicensis-Melicetum ciliatae
Teucrio botryos-Melicetum ciliatae;Volk 1937;ASS;        Teucrio botryos-Melicetum ciliatae
"Alyssum montanum-Festuca cinerea""-Gesellschaft""";;ASS;"        Alyssum montanum-Festuca cinerea""-Gesellschaft"""
Allio stricti-Festucetum pannonicae;Knapp 1971 corr. Oberd. 1979;ASS;        Allio stricti-Festucetum pannonicae
Festuco-Brometea;Br.-Bl. et Tx. in Br.-Bl. 1949;KLA;  Festuco-Brometea
Cirsio acaulis-Trifolietum montani;Wollert 1964;ASS;        Cirsio acaulis-Trifolietum montani
Filipendula vulgaris-Helictotrichon pratense-Gesellschaft;;ASS;        Filipendula vulgaris-Helictotrichon pratense-Gesellschaft
Brometalia erecti;W. Koch 1926;ORD;    Brometalia erecti
Hippocrepis comosa-Sesleria albicans-Gesellschaft;;ASS;        Hippocrepis comosa-Sesleria albicans-Gesellschaft
Bromion erecti;Koch 1926;VRB;      Bromion erecti
Brometum;Scherrer 1925;ASS;        Brometum
Gentiano-Koelerietum pyramidatae;Knapp ex Bornkamm 1960 nom. conserv. propos.;ASS;        Gentiano-Koelerietum pyramidatae
Silene viscaria-Helictotrichon pratense-Gesellschaft;;ASS;        Silene viscaria-Helictotrichon pratense-Gesellschaft
Polygalo amarae-Seslerietum;(Tx. 1937) Tx. ex Winterhoff 1965;ASS;        Polygalo amarae-Seslerietum
Carlino-Caricetum sempervirentis;Lutz et Paul 1947;ASS;        Carlino-Caricetum sempervirentis
Koelerio-Phleion phleoidis;Korneck 1974;VRB;      Koelerio-Phleion phleoidis
Genistello-Phleetum phleoidis;Korneck 1974;ASS;        Genistello-Phleetum phleoidis
Xerobromion;(Br.-Bl. et Moor 1938) Moravec in Holub et al. 1967;VRB;      Xerobromion
Xerobrometum;Br.-Bl. 1931 nom. illegit.;ASS;        Xerobrometum
Xerobrometum s.str.;Br.-Bl. 1931 nom. illegit.;ZEH;          Xerobrometum s.str.
Trinio-Caricetum humilis;Volk in Br.-Bl. et Moor 1938;ZEH;          Trinio-Caricetum humilis
Teucrio-Seslerietum;Volk 1937;ZEH;          Teucrio-Seslerietum
Pulsatillo-Caricetum humilis;Gauckler 1938;ASS;        Pulsatillo-Caricetum humilis
Festucetalia valesiacae;Br.-Bl. et Tx. ex Br.-Bl. 1949;ORD;    Festucetalia valesiacae
Festucion valesiacae;Klika 1931;VRB;      Festucion valesiacae
Potentillo arenariae-Stipetum capillatae;(Hueck 1931) Libbert 1933 nom. invers. propos.;ASS;        Potentillo arenariae-Stipetum capillatae
Allio-Stipetum capillatae;Korneck 1974;ASS;        Allio-Stipetum capillatae
Festuco valesiacae-Stipetum capillatae;Sillinger 1931;ASS;        Festuco valesiacae-Stipetum capillatae
Cirsio pannonici-Brachypodion pinnati;Hadac et Klika in Klika et Hadac 1944;VRB;      Cirsio pannonici-Brachypodion pinnati
Adonido vernalis-Brachypodietum pinnati;(Libbert 1933) Krausch 1961;ASS;        Adonido vernalis-Brachypodietum pinnati
Adonido vernalis-Brachypodietum pinnati s.str.;(Libbert 1933) Krausch 1961;ZEH;          Adonido vernalis-Brachypodietum pinnati s.str.
Scorzonero hispanicae-Brachypodietum pinnati;Gauckler 1957;ZEH;          Scorzonero hispanicae-Brachypodietum pinnati
Scorzonera purpurea-Thesium linophyllon-Gesellschaft;;ZEH;          Scorzonera purpurea-Thesium linophyllon-Gesellschaft
Adonis vernalis-Brachypodium rupestre-Gesellschaft;;ZEH;          Adonis vernalis-Brachypodium rupestre-Gesellschaft
Elyno-Seslerietea;Br.-Bl. 1948;KLA;  Elyno-Seslerietea
Seslerietalia coeruleae;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Seslerietalia coeruleae
Seslerietalia coeruleae-Basalgesellschaft;;ASS;        Seslerietalia coeruleae-Basalgesellschaft
Carex mucronata-Gesellschaft;;ZEH;          Carex mucronata-Gesellschaft
Caricion firmae;Gams 1936;VRB;      Caricion firmae
Caricetum firmae;Rübel 1911;ASS;        Caricetum firmae
Seslerion coeruleae;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Seslerion coeruleae
Seslerio-Caricetum sempervirentis;Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Seslerio-Caricetum sempervirentis
Valeriano-Seslerietum;Oberd. ex Grabherr et al. 1993;ASS;        Valeriano-Seslerietum
Laserpitio latifolii-Seslerietum;Moor 1957;ZEH;          Laserpitio latifolii-Seslerietum
Genista pilosa-Sesleria varia-Gesellschaft;;ASS;        Genista pilosa-Sesleria varia-Gesellschaft
Caricion ferrugineae;G. Br.-Bl. et J. Br.-Bl. 1931;VRB;      Caricion ferrugineae
Caricion ferrugineae-Basalgesellschaft;;ASS;        Caricion ferrugineae-Basalgesellschaft
Calamagrostis varia-Sesleria albicans-Gesellschaft;;ZEH;          Calamagrostis varia-Sesleria albicans-Gesellschaft
Saxifraga rosacea-Sesleria-Gesellschaft;;ZEH;          Saxifraga rosacea-Sesleria-Gesellschaft
Vicia sylvatica-Dactylis glomerata-Gesellschaft;;ZEH;          Vicia sylvatica-Dactylis glomerata-Gesellschaft
Campanulo scheuchzeri-Festucetum noricae;Isda 1986;ASS;        Campanulo scheuchzeri-Festucetum noricae
Caricetum ferrugineae;Lüdi 1921;ASS;        Caricetum ferrugineae
Origano-Calamagrostietum variae;Lippert ex Thiele 1978;ASS;        Origano-Calamagrostietum variae
Laserpitio-Calamagrostietum variae;(Kuhn 1937, Moor 1957) Th. Müller 1961;ZEH;          Laserpitio-Calamagrostietum variae
Carici rupestris-Kobresietea bellardii;Ohba 1974;KLA;  Carici rupestris-Kobresietea bellardii
Oxytropido-Kobresietalia;Oberd. ex. Albrecht 1969;ORD;    Oxytropido-Kobresietalia
Oxytropido-Elynion;Br.-Bl. 1949;VRB;      Oxytropido-Elynion
Elynetum myosuroidis;Rübel 1911;ASS;        Elynetum myosuroidis
Caricetum rupestris;Pignatti et Pignatti 1985;ASS;        Caricetum rupestris
Agrostis alpina-Gesellschaft;;ASS;        Agrostis alpina-Gesellschaft
Caricetea curvulae;Br.-Bl. 1948 nom. conserv.;KLA;  Caricetea curvulae
Caricetalia curvulae;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Caricetalia curvulae
Oreochloa disticha-Gesellschaft;;ASS;        Oreochloa disticha-Gesellschaft
Juncion trifidi;Krajina 1933;VRB;      Juncion trifidi
Agrostis rupestris-Juncus trifidus-Gesellschaft;;ASS;        Agrostis rupestris-Juncus trifidus-Gesellschaft
Juncus trifidus-Primula minima-Gesellschaft;;ASS;        Juncus trifidus-Primula minima-Gesellschaft
Festucetaliae spadiceae;Barbero 1970;ORD;    Festucetaliae spadiceae
Agrostion schraderianae;Grabherr 1993;VRB;      Agrostion schraderianae
Pediculari recutitae-Agrostietum schraderianae;Grabherr 1993;ASS;        Pediculari recutitae-Agrostietum schraderianae
V. Quell- und Niedermoorgesellschaften, Hochmoorschlenken- und Bulten-Gesellschaften;;FOR;V. Quell- und Niedermoorgesellschaften, Hochmoorschlenken- und Bulten-Gesellschaften
Montio-Cardaminetea;Br.-Bl. et Tx. ex Klika 1948;KLA;  Montio-Cardaminetea
Montio-Cardaminetalia;Pawlowski in Pawlowski et al. 1928;ORD;    Montio-Cardaminetalia
